112.216.29.245 	80 	elite 	18.01.12 17:44 	2/5 	24,17 KB/s 	Unknown 	check
112.216.29.245 	80 	elite 	18.01.12 19:11 	5/5 	30,20 KB/s 	Unknown 	check
113.106.194.221 	80 	elite 	19.01.12 05:16 	3/5 	23,37 KB/s 	China 	check
113.106.194.221 	81 	elite 	19.01.12 08:30 	3/5 	23,30 KB/s 	China 	check
113.106.194.221 	82 	elite 	19.01.12 11:08 	1/5 	23,31 KB/s 	China 	check
113.106.194.221 	83 	elite 	19.01.12 10:53 	2/5 	28,81 KB/s 	China 	check
113.106.194.221 	84 	elite 	19.01.12 08:41 	5/5 	25,36 KB/s 	China 	check
113.106.194.221 	85 	elite 	19.01.12 06:58 	4/5 	26,90 KB/s 	China 	check
113.106.194.221 	86 	elite 	19.01.12 02:56 	5/5 	24,00 KB/s 	China 	check
114.134.193.55 	8080 	elite 	19.01.12 04:54 	3/5 	31,54 KB/s 	Australia 	check
116.247.78.34 	80 	elite 	19.01.12 10:05 	2/5 	14,49 KB/s 	Unknown 	check
117.79.235.90 	80 	elite 	19.01.12 07:35 	2/5 	35,79 KB/s 	China 	check
117.79.235.94 	80 	elite 	19.01.12 07:55 	1/5 	21,52 KB/s 	China 	check
118.133.108.212 	9415 	elite 	19.01.12 06:13 	3/5 	20,61 KB/s 	Unknown 	check
118.174.131.94 	3128 	elite 	18.01.12 18:27 	1/5 	29,42 KB/s 	Unknown 	check
118.195.132.49 	80 	elite 	19.01.12 01:59 	5/5 	22,39 KB/s 	Unknown 	check
119.246.32.204 	9415 	elite 	19.01.12 03:01 	4/5 	28,76 KB/s 	Hong Kong 	check
120.203.1.250 	3128 	elite 	19.01.12 06:26 	1/5 	30,93 KB/s 	China 	check
120.88.10.168 	8123 	elite 	19.01.12 05:32 	3/5 	14,95 KB/s 	Unknown 	check
121.172.243.215 	8080 	elite 	19.01.12 03:36 	5/5 	30,88 KB/s 	Unknown 	check
122.248.194.9 	80 	elite 	18.01.12 15:13 	5/5 	47,50 KB/s 	Unknown 	check
123.62.6.35 	80 	elite 	19.01.12 06:08 	2/5 	28,09 KB/s 	Unknown 	check
125.88.125.201 	8083 	elite 	18.01.12 23:05 	4/5 	22,01 KB/s 	Unknown 	check
125.89.161.189 	8080 	elite 	18.01.12 23:06 	1/5 	21,30 KB/s 	Unknown 	check
129.206.218.32 	808 	elite 	19.01.12 03:04 	1/5 	575,66 KB/s 	Germany 	check
14.136.87.83 	8909 	elite 	18.01.12 13:35 	5/5 	22,94 KB/s 	United States 	check
141.105.80.82 	80 	elite 	19.01.12 04:11 	5/5 	130,74 KB/s 	Lebanon 	check
151.1.216.176 	80 	elite 	19.01.12 03:27 	4/5 	261,80 KB/s 	European Union 	check
157.55.186.188 	80 	elite 	19.01.12 04:23 	1/5 	71,78 KB/s 	United States 	check
159.224.254.196 	3128 	elite 	19.01.12 08:40 	5/5 	203,19 KB/s 	Unknown 	check
162.42.216.93 	80 	elite 	19.01.12 03:28 	4/5 	67,46 KB/s 	United States 	check
162.42.216.97 	80 	elite 	19.01.12 03:29 	4/5 	67,17 KB/s 	United States 	check
162.42.216.99 	80 	elite 	19.01.12 03:28 	5/5 	59,68 KB/s 	United States 	check
173.19.182.218 	2479 	elite 	19.01.12 04:41 	2/5 	59,77 KB/s 	United States 	check
175.101.62.156 	808 	elite 	18.01.12 18:31 	1/5 	46,51 KB/s 	India 	check
175.139.169.245 	80 	elite 	18.01.12 16:56 	5/5 	33,73 KB/s 	Unknown 	check
176.28.79.44 	80 	elite 	18.01.12 23:11 	5/5 	2.307,71 KB/s 	Unknown 	check
176.31.156.209 	80 	elite 	19.01.12 03:22 	2/5 	474,94 KB/s 	Unknown 	check
176.31.248.146 	80 	elite 	18.01.12 15:31 	2/5 	420,91 KB/s 	Unknown 	check
176.9.1.72 	80 	elite 	19.01.12 03:27 	5/5 	513,87 KB/s 	Unknown 	check
176.9.219.38 	808 	elite 	18.01.12 23:06 	2/5 	168,52 KB/s 	Unknown 	check
178.46.128.59 	3128 	elite 	19.01.12 03:47 	2/5 	64,97 KB/s 	Russian Federation 	check
183.181.168.204 	80 	elite 	19.01.12 05:35 	4/5 	40,13 KB/s 	Unknown 	check
183.82.96.106 	8080 	elite 	19.01.12 08:42 	5/5 	61,90 KB/s 	Unknown 	check
184.160.20.75 	6588 	elite 	18.01.12 18:32 	2/5 	36,72 KB/s 	Unknown 	check
184.160.20.75 	6588 	elite 	19.01.12 04:46 	3/5 	54,59 KB/s 	Unknown 	check
184.171.175.14 	808 	elite 	19.01.12 08:38 	4/5 	69,26 KB/s 	United States 	check
184.22.3.88 	8080 	elite 	19.01.12 03:22 	1/5 	54,29 KB/s 	Unknown 	check
186.238.48.8 	80 	elite 	18.01.12 17:05 	3/5 	49,32 KB/s 	Brazil 	check
